,FlyFrom,FlyTo,DepartTimeUTC,ArrivalTimeUTC,Price,DataDate
512318,ATL,EWR,2019-09-12 13:15:00,2019-09-12 15:29:00,146,20190706
512386,ATL,EWR,2019-09-13 13:15:00,2019-09-13 15:29:00,147,20190706
512468,ATL,EWR,2019-09-11 20:45:00,2019-09-11 23:10:00,151,20190706
512563,ATL,EWR,2019-09-10 13:18:00,2019-09-10 15:24:00,163,20190706
512601,ATL,EWR,2019-09-14 14:09:00,2019-09-14 16:15:00,164,20190706
512615,ATL,EWR,2019-09-13 02:35:00,2019-09-13 04:46:00,164,20190706
512642,ATL,EWR,2019-09-13 00:00:00,2019-09-13 02:23:00,164,20190706
540158,ATL,JFK,2019-09-12 01:26:00,2019-09-12 03:46:00,106,20190706
540200,ATL,JFK,2019-09-11 12:20:00,2019-09-11 14:29:00,107,20190706
540223,ATL,JFK,2019-09-10 14:45:00,2019-09-10 16:55:00,107,20190706
540230,ATL,JFK,2019-09-11 14:45:00,2019-09-11 16:55:00,107,20190706
540327,ATL,JFK,2019-09-14 14:48:00,2019-09-14 17:02:00,107,20190706
540335,ATL,JFK,2019-09-10 14:48:00,2019-09-10 17:02:00,107,20190706
540340,ATL,JFK,2019-09-12 14:48:00,2019-09-12 17:02:00,107,20190706
540346,ATL,JFK,2019-09-13 14:48:00,2019-09-13 17:02:00,107,20190706
540356,ATL,JFK,2019-09-11 14:48:00,2019-09-11 17:02:00,107,20190706
540477,ATL,JFK,2019-09-14 17:49:00,2019-09-14 20:07:00,107,20190706
540531,ATL,JFK,2019-09-11 01:26:00,2019-09-11 03:46:00,107,20190706
540532,ATL,JFK,2019-09-14 23:10:00,2019-09-15 01:30:00,107,20190706
540537,ATL,JFK,2019-09-10 17:49:00,2019-09-10 20:09:00,107,20190706
540541,ATL,JFK,2019-09-14 01:26:00,2019-09-14 03:46:00,107,20190706
540546,ATL,JFK,2019-09-10 01:26:00,2019-09-10 03:46:00,107,20190706
540551,ATL,JFK,2019-09-13 01:26:00,2019-09-13 03:46:00,107,20190706
540579,ATL,JFK,2019-09-10 23:10:00,2019-09-11 01:32:00,107,20190706
540586,ATL,JFK,2019-09-11 23:10:00,2019-09-12 01:32:00,107,20190706
540612,ATL,JFK,2019-09-10 16:10:00,2019-09-10 18:34:00,107,20190706
540614,ATL,JFK,2019-09-11 16:10:00,2019-09-11 18:34:00,107,20190706
540627,ATL,JFK,2019-09-10 22:25:00,2019-09-11 00:49:00,107,20190706
540633,ATL,JFK,2019-09-14 22:25:00,2019-09-15 00:49:00,107,20190706
540638,ATL,JFK,2019-09-11 22:25:00,2019-09-12 00:49:00,107,20190706
540641,ATL,JFK,2019-09-13 22:25:00,2019-09-14 00:49:00,107,20190706
540645,ATL,JFK,2019-09-12 22:25:00,2019-09-13 00:49:00,107,20190706
540764,ATL,JFK,2019-09-14 12:20:00,2019-09-14 14:27:00,117,20190706
540772,ATL,JFK,2019-09-10 12:20:00,2019-09-10 14:29:00,117,20190706
540773,ATL,JFK,2019-09-12 12:20:00,2019-09-12 14:29:00,117,20190706
540836,ATL,JFK,2019-09-11 17:49:00,2019-09-11 20:09:00,116,20190706
541084,ATL,JFK,2019-09-13 12:20:00,2019-09-13 14:29:00,141,20190706
541091,ATL,JFK,2019-09-12 14:45:00,2019-09-12 16:55:00,141,20190706
541099,ATL,JFK,2019-09-13 14:45:00,2019-09-13 16:55:00,141,20190706
541163,ATL,JFK,2019-09-12 17:49:00,2019-09-12 20:09:00,141,20190706
